MSMEG_0091	0.1675	0.1709	0.3265	0.335
MSMEG_0092	0.1965	0.2044	0.3302	0.2689
MSMEG_0093	0.1516	0.1443	0.3406	0.3634
MSMEG_0094	0.1611	0.1667	0.3611	0.3111
MSMEG_0095	0.1635	0.1464	0.3376	0.3526
MSMEG_0096	0.1942	0.1439	0.3205	0.3415
MSMEG_0097	0.1232	0.1511	0.3789	0.3468
MSMEG_0098	0.1457	0.1527	0.3571	0.3445
MSMEG_0099	0.0947	0.214	0.3868	0.3045
MSMEG_0100	0.1487	0.1425	0.3767	0.3321
MSMEG_0101	0.182	0.1514	0.3604	0.3063
MSMEG_0102	0.1756	0.1408	0.3455	0.3382
MSMEG_0103	0.1017	0.1717	0.3592	0.3675
MSMEG_0104	0.1304	0.1633	0.3662	0.3401
MSMEG_0105	0.1659	0.1536	0.3548	0.3257
MSMEG_0106	0.1285	0.1868	0.3599	0.3248
MSMEG_0107	0.196	0.1292	0.3034	0.3714
MSMEG_0108	0.1614	0.1482	0.3351	0.3553
MSMEG_0109	0.1635	0.1795	0.3174	0.3396
MSMEG_0110	0.1518	0.1686	0.358	0.3217
MSMEG_0111	0.1801	0.1682	0.3055	0.3463
MSMEG_0112	0.188	0.2308	0.2906	0.2906
MSMEG_0113	0.1161	0.1998	0.3484	0.3357
MSMEG_0114	0.1853	0.147	0.3323	0.3354
MSMEG_0115	0.1777	0.1733	0.3025	0.3465
MSMEG_0116	0.1554	0.1466	0.3647	0.3333
MSMEG_0117	0.1806	0.1759	0.2928	0.3507
MSMEG_0118	0.1836	0.1417	0.3792	0.2954
MSMEG_0119	0.1712	0.2252	0.2793	0.3243
MSMEG_0120	0.1939	0.1485	0.3182	0.3394
MSMEG_0121	0.1486	0.1512	0.3501	0.3501
MSMEG_0122	0.1776	0.1438	0.3194	0.3591
MSMEG_0123	0.1183	0.1893	0.3471	0.3452
MSMEG_0124	0.1506	0.152	0.3421	0.3553
MSMEG_0125	0.1388	0.1952	0.336	0.3301
MSMEG_0126	0.1653	0.1546	0.3342	0.3458
MSMEG_0127	0.1255	0.163	0.3727	0.3388
MSMEG_0128	0.1578	0.1556	0.3244	0.3622
MSMEG_0129	0.1937	0.1599	0.3266	0.3198
MSMEG_0130	0.1717	0.1328	0.3333	0.3622
MSMEG_0131	0.1645	0.1615	0.3419	0.3321
MSMEG_0132	0.1336	0.2247	0.3308	0.3109
MSMEG_0133	0.1402	0.2207	0.3138	0.3253
MSMEG_0134	0.1789	0.1626	0.3089	0.3496
