,Delay type,Best interval,slope best interval,half-life best interval,mse best interval,Log2 initial abundance,,,half-life best interval,Log2 initial abundance
MSMEG_1008,0,0-2,-2.67755,0.373475752086796,0.445443404506173,13.0508,,MSMEG_1008,0.373475752086796,13.0508
MSMEG_0892,0,0-2,-2.67673333333333,0.373589698886703,0.149569690617283,12.9971666666667,,MSMEG_0892,0.373589698886703,12.9971666666667
MSMEG_0834,0,0-2,-2.6568,0.376392652815417,0.0744931498765432,15.5867,,MSMEG_0834,0.376392652815417,15.5867
MSMEG_6356,0,0-2,-2.63868333333333,0.37897688872607,0.260726379814814,13.3627333333333,,MSMEG_6356,0.37897688872607,13.3627333333333
VBIMycSme59918_2265,0,0-2,-2.62786666666666,0.380536810594146,0.437029210617283,11.9614333333333,,VBIMycSme59918_2265,0.380536810594146,11.9614333333333
MSMEG_4127,0,0-2,-2.58576666666666,0.386732497131735,0.234947928148148,13.8510666666667,,MSMEG_4127,0.386732497131735,13.8510666666667
MSMEG_6946,0,0-2,-2.58183333333333,0.387321670647473,0.0452725224691357,15.4514666666667,,MSMEG_6946,0.387321670647473,15.4514666666667
MSMEG_5697,0,0-2,-2.58018333333333,0.387569358766496,0.460929822037037,13.8671333333333,,MSMEG_5697,0.387569358766496,13.8671333333333
MSMEG_3399,0,0-2,-2.5621,0.390304828070723,0.107545935555555,14.6038,,MSMEG_3399,0.390304828070723,14.6038
MSMEG_6029,0,0-2,-2.5619,0.390335298021,0.351592401728394,12.2826333333333,,MSMEG_6029,0.390335298021,12.2826333333333
MSMEG_6381,0,0-2,-2.54421666666666,0.393048285981934,0.131811293148148,13.5116,,MSMEG_6381,0.393048285981934,13.5116
VBIMycSme59918_2366,0,0-2,-2.5422,0.393360081818897,0.00342180098765433,14.0493666666667,,VBIMycSme59918_2366,0.393360081818897,14.0493666666667
MSMEG_3997,0,0-2,-2.54115,0.393522617712453,0.0773544763580247,12.3416666666667,,MSMEG_3997,0.393522617712453,12.3416666666667
MSMEG_6643,0,0-2,-2.53821666666666,0.393977398829888,0.175335737098765,13.5514666666667,,MSMEG_6643,0.393977398829888,13.5514666666667
MSMEG_6620,0,0-2,-2.52968333333333,0.395306395398634,0.135918725246913,13.707,,MSMEG_6620,0.395306395398634,13.707
MSMEG_3901,0,0-2,-2.52903333333333,0.395407995149662,0.441142511358024,13.2038,,MSMEG_3901,0.395407995149662,13.2038
MSMEG_1176,0,0-2,-2.5255,0.395961195802811,0.197138526666666,14.5541,,MSMEG_1176,0.395961195802811,14.5541
MSMEG_0129,0,0-2,-2.52066666666666,0.396720444326899,0.048978553580247,13.2272,,MSMEG_0129,0.396720444326899,13.2272
MSMEG_0674,0,0-2,-2.51428333333333,0.397727649363305,0.0340248842592592,14.6857666666667,,MSMEG_0674,0.397727649363305,14.6857666666667
