,No zero values in 0-15 minute timepoints,half-life for 0-15 minutes,Fold change half-life hypoxia/con no atc,hyp_1_5_slope,hyp_1_5_r2,hyp_1_5_mse,log2 hypoxia half-life,log2 con no atc half-life,con no atc half-life
MSMEG_0493,pass,11.15,4.84,-0.0897247747747748,0.303700505484553,0.491710564537537,3.48,1.20395606363254,2.30370512574391
MSMEG_2415,pass,9.65,4.90,-0.103629879879879,0.445976891380067,0.355401890615615,3.27,0.976599312346566,1.96782143426071
MSMEG_3137,pass,13.80,4.92,-0.0724843843843844,0.500396674335142,0.13974427857057,3.79,1.48687987166657,2.8028215069837
MSMEG_5680,pass,15.80,4.95,-0.063289039039039,0.495315265097353,0.108725065954954,3.98,1.67513163818419,3.19348492050305
MSMEG_3970,pass,11.82,5.02,-0.0845918918918919,0.451324189987802,0.231749549537537,3.56,1.23484921517167,2.35356747593898
MSMEG_0019,pass,26.36,5.03,-0.0379388888888889,0.137331818377153,0.240866302111111,4.72,2.38854430341513,5.23628747218225
MSMEG_6684,pass,14.19,5.11,-0.0704545045045045,0.217603631503776,0.475458304681681,3.83,1.47433199262472,2.77854959711031
MSMEG_3973,pass,14.96,5.14,-0.0668545045045045,0.316640945933442,0.256967055348348,3.90,1.54063833190895,2.90923196276183
MSMEG_2487,pass,19.85,5.17,-0.0503699699699699,0.335523509758883,0.133854898198198,4.31,1.93982741356031,3.83659748611517
MSMEG_1107,pass,37.10,5.22,-0.0269561561561561,0.145911121762098,0.113309107279279,5.21,2.82982002880671,7.10985446437039
MSMEG_6345,pass,7.79,5.42,-0.128417867867867,0.517435963621602,0.40971651745045,2.96,0.522564436922681,1.43650641639533
MSMEG_5336,pass,10.15,5.45,-0.0984951951951952,0.477654886755335,0.282623077873873,3.34,0.897421847295314,1.86273422774144
MSMEG_1947,pass,16.76,5.50,-0.0596542042042042,0.647429099459705,0.0516262503513513,4.07,1.60786578822421,3.0480060960122
MSMEG_1254,pass,14.69,5.52,-0.0680887387387387,0.453890191810003,0.148598346843843,3.88,1.41087572217076,2.65898515399956
MSMEG_5496,pass,17.53,5.66,-0.0570493993993994,0.155313878673399,0.471543178723724,4.13,1.63180690164784,3.09900890743704
MSMEG_6801,pass,36.08,5.66,-0.027713063063063,0.181048477347753,0.0925479063873872,5.17,2.67229464285752,6.37442249117974
MSMEG_6878,pass,12.84,5.67,-0.0779057057057057,0.270816325786405,0.435346289621621,3.68,1.17769522213022,2.26215098241986
MSMEG_0216,pass,19.69,5.70,-0.0508,0.375623917651052,0.114275904,4.30,1.78698903447517,3.45093914843969
MSMEG_5246,pass,17.10,5.81,-0.0584755255255255,0.546798157507486,0.0755000278648648,4.10,1.55639839998646,2.94118676886124
MSMEG_6710,pass,12.24,5.84,-0.0816849849849849,0.354510949273142,0.323651716216216,3.61,1.06677989574266,2.09475264462522
MSMEG_3794,pass,8.15,5.84,-0.122741591591591,0.708066591451988,0.165473104849849,3.03,0.47925090334982,1.39401965567714
MSMEG_4891,pass,32.59,5.94,-0.030686036036036,0.128882423777091,0.169550425294294,5.03,2.45570774909878,5.48582176303863
MSMEG_2057,pass,15.85,6.00,-0.0630836336336336,0.247662944114292,0.322046841486486,3.99,1.40246542058705,2.64352948951558
MSMEG_2759,pass,8.03,6.03,-0.124605405405405,0.524166506502704,0.375485981177177,3.00,0.411314200762648,1.32989671135542
MSMEG_2570,pass,14.02,6.04,-0.0713099099099099,0.406515782840711,0.197772434006005,3.81,1.21513312056723,2.3216220399319
MSMEG_5154,pass,14.92,6.05,-0.0670337837837838,0.408312437302129,0.173468858483483,3.90,1.30278537442809,2.46704729682103
MSMEG_5275,pass,17.61,6.09,-0.0567971471471472,0.496559831102913,0.0871291635165167,4.14,1.53108656471828,2.89003419873802
MSMEG_6879,pass,12.77,6.12,-0.0783349849849849,0.523081853232137,0.149045868993993,3.67,1.05974553131284,2.0845638050238
MSMEG_2297,pass,9.43,6.14,-0.106049249249249,0.770577417541773,0.0892009138738738,3.24,0.618975098896425,1.53578376164636
MSMEG_5558,pass,40.03,6.14,-0.0249834834834834,0.131063342610631,0.110242000288288,5.32,2.70411448500135,6.51657760677274
MSMEG_4753,pass,20.42,6.20,-0.0489657657657658,0.413933997628806,0.0904346272672673,4.35,1.7191228485625,3.29236172080773
MSMEG_2004,pass,10.61,6.24,-0.0942474474474474,0.321914179426427,0.498445833981981,3.41,0.764701830458194,1.6990188166334
MSMEG_1017,pass,9.46,6.28,-0.105726426426426,0.779769620991018,0.084103146018018,3.24,0.590708641544703,1.50598629552471
MSMEG_6159,pass,18.63,6.34,-0.0536878378378378,0.242186593641434,0.240269272681681,4.22,1.55390797928978,2.93611398930659
MSMEG_3793,pass,8.57,6.40,-0.116741891891891,0.820026666660105,0.0796834005375374,3.10,0.419445591663944,1.33741350596582
MSMEG_0565,pass,13.06,6.40,-0.0765636636636636,0.467105595982985,0.178158161981981,3.71,1.02803355834883,2.03924280001631
MSMEG_4164,pass,13.28,6.43,-0.075292042042042,0.355816622289992,0.273410792801802,3.73,1.0460767416094,2.06490690711361
MSMEG_5355,pass,6.47,6.44,-0.154603753753753,0.670136867975927,0.313432881846847,2.69,0.00670002075158638,1.00465490104149
MSMEG_4005,pass,15.71,6.47,-0.0636594594594594,0.365029458474168,0.187795757549549,3.97,1.28045980303621,2.42916384710149
MSMEG_3519,pass,18.19,6.47,-0.0549702702702702,0.407432235529931,0.117077273609609,4.19,1.4903886027411,2.80964645282136
MSMEG_2659,pass,14.02,6.49,-0.0713315315315315,0.68740671975516,0.0616400784024023,3.81,1.1117648825762,2.16109857902623
MSMEG_3479,pass,27.71,6.49,-0.036087087087087,0.242244189428788,0.108520998846846,4.79,2.0936461031288,4.26825420979769
MSMEG_0966,pass,11.29,6.57,-0.0886,0.31287000007206,0.459279067555555,3.50,0.781381182360606,1.71877557701752
MSMEG_4586,pass,12.83,6.60,-0.0779723723723724,0.486217329955712,0.171145204288288,3.68,0.957966085730992,1.94256932544281
MSMEG_4272,pass,14.21,6.63,-0.070358108108108,0.493587264797879,0.135301683204204,3.83,1.10005101381033,2.14362272240086
MSMEG_4890,pass,33.02,6.64,-0.0302891891891892,0.186467495786821,0.106630461153153,5.05,2.31301619510794,4.96920890914344
MSMEG_3385,pass,6.74,6.71,-0.14826081081081,0.747435910640946,0.197872118375375,2.75,0.00664204549074665,1.00461452940507
MSMEG_2954,pass,22.19,6.78,-0.0450647147147146,0.486306194426739,0.0571481268318317,4.47,1.71109042852996,3.27408194030638
MSMEG_1453,pass,6.94,6.80,-0.144059759759759,0.620417007247102,0.338253768684684,2.80,0.029416262837079,1.02059909166681
MSMEG_3395,pass,12.51,6.85,-0.0799606606606607,0.475762143983613,0.187683227927927,3.64,0.869100500269793,1.82652373393638
MSMEG_6427,pass,35.06,6.85,-0.0285196696696696,0.0560375173866081,0.365005198315315,5.13,2.35557673643812,5.11798789961434
MSMEG_3564,pass,17.33,6.90,-0.0576870870870871,0.326256338844798,0.18307421218018,4.12,1.32863861865286,2.51165553772725
MSMEG_6169,pass,11.31,6.99,-0.0884237237237237,0.416018983969304,0.292386556828828,3.50,0.693254470469427,1.61692691490345
MSMEG_1916,pass,10.04,7.01,-0.099631081081081,0.69364947498596,0.11678914342042,3.33,0.517048486632685,1.43102461362335
