gene	HalfLife_vals_logPhase	HalfLife_cls_logPhase	HalfLife_BestIntervalMSE_logPhase	HalfLife_vals_hypoxia	HalfLife_cls_hypoxia	HalfLife_BestIntervalMSE_hypoxia	HalfLife_FC_hypoxiaToLogPhase	HalfLife_FCcls_hypoxiaToLogPhase
MSMEG_1681	1.63	Slow	0.1172	48.89	Slow	0.1578	29.99	Med-large
MSMEG_1682	1.52	Slow	0.0083	93.82	Slow	0.1454	61.72	Large
MSMEG_1683	0.83	Med-fast	0.0406	27.82	Med-slow	0.1463	33.52	Med-large
MSMEG_1684	0.76	Med-fast	0.0304	53.05	Slow	0.1463	69.8	Large
MSMEG_1685	0.67	Fast	0.0975	NA	NA	NA	NA	NA
MSMEG_1686	1.1	Med-slow	0.3854	NA	NA	NA	NA	NA
MSMEG_1687	1.77	Slow	0.3456	NA	NA	NA	NA	NA
MSMEG_1692	0.75	Med-fast	0.2351	NA	NA	NA	NA	NA
MSMEG_1694	0.85	Med-fast	0.0593	24.27	Med-fast	0.1872	28.55	Med-large
MSMEG_1695	1.14	Med-slow	0.0914	37.66	Med-slow	0.1478	33.04	Med-large
MSMEG_1698	0.9	Med-fast	0.1603	40.04	Slow	0.2436	44.49	Large
MSMEG_1701	1.02	Med-slow	0.0569	22.34	Med-fast	0.2559	21.9	Med-small
MSMEG_1702	0.87	Med-fast	0.0149	10.53	Fast	0.0769	12.1	Small
MSMEG_1703	0.88	Med-fast	0.2472	25.41	Med-slow	0.0378	28.88	Med-large
MSMEG_1704	0.66	Fast	0.3467	NA	NA	NA	NA	NA
MSMEG_1707	0.94	Med-fast	0.3217	34.97	Med-slow	0.1657	37.2	Med-large
MSMEG_1708	0.65	Fast	0.1629	17.64	Med-fast	0.1724	27.14	Med-large
MSMEG_1716	NA	NA	NA	18.28	Med-fast	0.2564	NA	NA
MSMEG_1717	0.84	Med-fast	0.0344	18.86	Med-fast	0.2624	22.45	Med-small
MSMEG_1718	NA	NA	NA	13.03	Fast	0.3185	NA	NA
MSMEG_1720	0.7	Fast	0.0821	35.91	Med-slow	0.1793	51.3	Large
MSMEG_1721	0.85	Med-fast	0.0552	18.72	Med-fast	0.1409	22.02	Med-small
MSMEG_1722	NA	NA	NA	12.27	Fast	0.2351	NA	NA
MSMEG_1725	0.71	Fast	0.1054	13.66	Fast	0.1228	19.24	Med-small
MSMEG_1726	0.59	Fast	0.0593	20.45	Med-fast	0.0947	34.66	Med-large
MSMEG_1728	0.86	Med-fast	0.159	18.53	Med-fast	0.2553	21.55	Med-small
MSMEG_1729	1.76	Slow	0.2802	16.71	Fast	0.1526	9.49	Small
MSMEG_1730	1.41	Slow	0.048	19.4	Med-fast	0.1153	13.76	Small
MSMEG_1731	0.58	Fast	0.1669	16.26	Fast	0.1001	28.03	Med-large
MSMEG_1732	NA	NA	NA	17.08	Fast	0.2184	NA	NA
MSMEG_1734	0.54	Fast	0.0461	16.01	Fast	0.1221	29.65	Med-large
MSMEG_1735	1.3	Med-slow	0.0138	28.5	Med-slow	0.1196	21.92	Med-small
MSMEG_1736	0.8	Med-fast	0.0552	17.96	Med-fast	0.1234	22.45	Med-small
MSMEG_1737	0.64	Fast	0.119	32.28	Med-slow	0.086	50.44	Large
MSMEG_1738	0.47	Fast	0.1174	11.18	Fast	0.0988	23.79	Med-small
MSMEG_1739	1.04	Med-slow	0.0665	57.77	Slow	0.345	55.55	Large
MSMEG_1740	0.63	Fast	0.0705	21.61	Med-fast	0.2387	34.3	Med-large
MSMEG_1741	NA	NA	NA	263.36	Slow	0.386	NA	NA
MSMEG_1742	0.91	Med-fast	0.1176	NA	NA	NA	NA	NA
MSMEG_1743	0.77	Med-fast	0.0335	NA	NA	NA	NA	NA
MSMEG_1744	NA	NA	NA	20.06	Med-fast	0.1893	NA	NA
MSMEG_1745	NA	NA	NA	23.67	Med-fast	0.1954	NA	NA
MSMEG_1746	1.06	Med-slow	0.371	NA	NA	NA	NA	NA
MSMEG_1747	1.18	Med-slow	0.2442	NA	NA	NA	NA	NA
MSMEG_1749	0.82	Med-fast	0.2305	NA	NA	NA	NA	NA
MSMEG_1751	0.73	Med-fast	0.1239	11.27	Fast	0.0748	15.44	Small
MSMEG_1753	1.17	Med-slow	0.0751	15.79	Fast	0.2604	13.5	Small
MSMEG_1754	NA	NA	NA	25.81	Med-slow	0.2488	NA	NA
MSMEG_1755	NA	NA	NA	28.85	Med-slow	0.2977	NA	NA
MSMEG_1756	NA	NA	NA	32.12	Med-slow	0.2563	NA	NA
MSMEG_1757	1.17	Med-slow	0.0558	32.33	Med-slow	0.0795	27.63	Med-large
MSMEG_1760	2.01	Slow	0.0384	28.26	Med-slow	0.1273	14.06	Small
MSMEG_1761	NA	NA	NA	97.12	Slow	0.3355	NA	NA
MSMEG_1762	1.56	Slow	0.0451	32.05	Med-slow	0.1175	20.54	Med-small
MSMEG_1763	0.48	Fast	0.3595	23.81	Med-fast	0.3719	49.6	Large
MSMEG_1764	NA	NA	NA	16.37	Fast	0.0766	NA	NA
MSMEG_1765	0.85	Med-fast	0.1657	180.01	Slow	0.286	211.78	Large
MSMEG_1766	3.23	Slow	0.1287	NA	NA	NA	NA	NA
MSMEG_1767	NA	NA	NA	86.82	Slow	0.4655	NA	NA
MSMEG_1768	NA	NA	NA	974.97	Slow	0.2708	NA	NA
MSMEG_1770	NA	NA	NA	41.14	Slow	0.2601	NA	NA
MSMEG_1771	NA	NA	NA	27.98	Med-slow	0.2833	NA	NA
MSMEG_1772	NA	NA	NA	40.74	Slow	0.1953	NA	NA
MSMEG_1773	2.98	Slow	0.3579	35.63	Med-slow	0.2231	11.96	Small
MSMEG_1774	3.53	Slow	0.2733	NA	NA	NA	NA	NA
MSMEG_1775	NA	NA	NA	34.03	Med-slow	0.4155	NA	NA
MSMEG_1776	1.2	Med-slow	0.1096	15.21	Fast	0.1482	12.68	Small
MSMEG_1777	NA	NA	NA	37.83	Med-slow	0.2726	NA	NA
MSMEG_1780	NA	NA	NA	89.23	Slow	0.3549	NA	NA
MSMEG_1781	NA	NA	NA	52.72	Slow	0.2146	NA	NA
MSMEG_1782	NA	NA	NA	22.49	Med-fast	0.286	NA	NA
MSMEG_1783	NA	NA	NA	11.64	Fast	0.4909	NA	NA
MSMEG_1784	NA	NA	NA	10.29	Fast	0.3572	NA	NA
MSMEG_1785	0.97	Med-slow	0.3613	13.06	Fast	0.4502	13.46	Small
MSMEG_1786	0.45	Fast	0.3437	6.84	Fast	0.2175	15.2	Small
MSMEG_1787	NA	NA	NA	15.91	Fast	0.4536	NA	NA
MSMEG_1788	NA	NA	NA	17.06	Fast	0.4923	NA	NA
MSMEG_1789	NA	NA	NA	30.67	Med-slow	0.4673	NA	NA
MSMEG_1790	NA	NA	NA	81.49	Slow	0.3038	NA	NA
MSMEG_1791	1.29	Med-slow	0.2634	42.02	Slow	0.1201	32.57	Med-large
MSMEG_1794	2.72	Slow	0.3378	24.71	Med-slow	0.3269	9.08	Small
MSMEG_1795	NA	NA	NA	29.43	Med-slow	0.2695	NA	NA
MSMEG_1796	NA	NA	NA	38.67	Med-slow	0.1292	NA	NA
MSMEG_1797	0.81	Med-fast	0.1806	132.46	Slow	0.1712	163.53	Large
MSMEG_1798	0.72	Fast	0.2009	19.29	Med-fast	0.1558	26.79	Med-large
MSMEG_1799	NA	NA	NA	77.6	Slow	0.1818	NA	NA
MSMEG_1802	2.4	Slow	0.2573	31.46	Med-slow	0.4632	13.11	Small
MSMEG_1803	1.76	Slow	0.084	71	Slow	0.2087	40.34	Med-large
MSMEG_1804	0.82	Med-fast	0.0665	90.79	Slow	0.1603	110.72	Large
MSMEG_1805	0.8	Med-fast	0.1183	210.57	Slow	0.1469	263.21	Large
MSMEG_1806	0.95	Med-fast	0.0715	40.95	Slow	0.1379	43.11	Large
MSMEG_1807	1.02	Med-slow	0.0561	23.07	Med-fast	0.0682	22.62	Med-small
MSMEG_1808	0.7	Fast	0.0295	21.49	Med-fast	0.0886	30.7	Med-large
MSMEG_1809	0.7	Fast	0.04	14.96	Fast	0.1253	21.37	Med-small
MSMEG_1810	0.55	Fast	0.396	15.56	Fast	0.1345	28.29	Med-large
MSMEG_1811	0.68	Fast	0.179	28.32	Med-slow	0.04	41.65	Large
MSMEG_1812	0.68	Fast	0.0848	26.89	Med-slow	0.0541	39.54	Med-large
MSMEG_1813	0.73	Med-fast	0.1438	16.19	Fast	0.0679	22.18	Med-small
MSMEG_1817	0.36	Fast	0.0734	13.26	Fast	0.158	36.83	Med-large
MSMEG_1818	0.36	Fast	0.2984	12.25	Fast	0.2022	34.03	Med-large
MSMEG_1819	0.62	Fast	0.0295	20.32	Med-fast	0.1191	32.77	Med-large
MSMEG_1820	1.04	Med-slow	0.0789	38.98	Slow	0.0815	37.48	Med-large
MSMEG_1821	1.54	Slow	0.0287	26.18	Med-slow	0.1247	17	Small
MSMEG_1822	1.83	Slow	0.0271	37.37	Med-slow	0.0916	20.42	Med-small
MSMEG_1823	1	Med-slow	0.1455	38.81	Slow	0.1087	38.81	Med-large
MSMEG_1824	0.76	Med-fast	0.0154	21.07	Med-fast	0.1011	27.72	Med-large
MSMEG_1825	0.74	Med-fast	0.0239	25.08	Med-slow	0.1529	33.89	Med-large
MSMEG_1826	0.73	Med-fast	0.0215	28.08	Med-slow	0.1332	38.47	Med-large
MSMEG_1829	1.05	Med-slow	0.0577	22.61	Med-fast	0.0837	21.53	Med-small
MSMEG_1830	1.3	Med-slow	0.0418	21.31	Med-fast	0.1644	16.39	Small
MSMEG_1831	0.5	Fast	0.047	11.99	Fast	0.0443	23.98	Med-small
MSMEG_1832	0.63	Fast	0.1569	11.47	Fast	0.1255	18.21	Small
MSMEG_1833	1.09	Med-slow	0.0281	11.28	Fast	0.0993	10.35	Small
MSMEG_1834	0.7	Fast	0.0447	16.7	Fast	0.0742	23.86	Med-small
MSMEG_1835	0.77	Med-fast	0.0812	34.2	Med-slow	0.0767	44.42	Large
MSMEG_1836	NA	NA	NA	42.85	Slow	0.0674	NA	NA
MSMEG_1837	1.01	Med-slow	0.0233	19.82	Med-fast	0.4214	19.62	Med-small
MSMEG_1838	1.31	Med-slow	0.0235	38.3	Med-slow	0.1585	29.24	Med-large
MSMEG_1839	NA	NA	NA	75.33	Slow	0.1761	NA	NA
MSMEG_1841	1.36	Med-slow	0.0741	58.86	Slow	0.402	43.28	Large
MSMEG_1842	0.64	Fast	0.1806	15.35	Fast	0.1463	23.98	Med-small
MSMEG_1844	NA	NA	NA	13.31	Fast	0.3994	NA	NA
MSMEG_1845	1.73	Slow	0.1003	NA	NA	NA	NA	NA
MSMEG_1846	1.79	Slow	0.2702	NA	NA	NA	NA	NA
MSMEG_1847	0.98	Med-slow	0.4473	NA	NA	NA	NA	NA
MSMEG_1849	1.42	Slow	0.0324	32.63	Med-slow	0.0753	22.98	Med-small
MSMEG_1850	0.62	Fast	0.0244	16.08	Fast	0.0953	25.94	Med-small
MSMEG_1852	0.92	Med-fast	0.0411	16.42	Fast	0.2237	17.85	Small
MSMEG_1854	0.52	Fast	0.1517	23.43	Med-fast	0.1592	45.06	Large
MSMEG_1855	NA	NA	NA	31.91	Med-slow	0.0512	NA	NA
MSMEG_1857	1.36	Med-slow	0.1445	NA	NA	NA	NA	NA
MSMEG_1861	NA	NA	NA	4720.06	Slow	0.1773	NA	NA
MSMEG_1862	0.62	Fast	0.1033	22.43	Med-fast	0.0905	36.18	Med-large
MSMEG_1863	0.81	Med-fast	0.1253	14.2	Fast	0.1441	17.53	Small
MSMEG_1864	0.65	Fast	0.1832	NA	NA	NA	NA	NA
MSMEG_1865	0.96	Med-slow	0.0553	24.46	Med-slow	0.1021	25.48	Med-small
MSMEG_1866	1.03	Med-slow	0.1881	27.58	Med-slow	0.087	26.78	Med-large
MSMEG_1867	1.29	Med-slow	0.0839	35.23	Med-slow	0.2396	27.31	Med-large
MSMEG_1869	1.96	Slow	0.1312	NA	NA	NA	NA	NA
MSMEG_1870	NA	NA	NA	12.24	Fast	0.3041	NA	NA
MSMEG_1871	NA	NA	NA	259	Slow	0.2681	NA	NA
MSMEG_1872	0.87	Med-fast	0.0767	16.07	Fast	0.3882	18.47	Small
MSMEG_1873	0.86	Med-fast	0.0664	64.17	Slow	0.1165	74.62	Large
MSMEG_1874	0.87	Med-fast	0.0293	15.96	Fast	0.1445	18.34	Small
MSMEG_1875	0.96	Med-slow	0.0458	33.54	Med-slow	0.0902	34.94	Med-large
MSMEG_1876	NA	NA	NA	75.75	Slow	0.0927	NA	NA
MSMEG_1877	1.95	Slow	0.2828	39.38	Slow	0.0982	20.19	Med-small
MSMEG_1878	2.33	Slow	0.3392	23.44	Med-fast	0.1196	10.06	Small
MSMEG_1881	0.73	Med-fast	0.0907	40.37	Slow	0.1408	55.3	Large
MSMEG_1882	1.61	Slow	0.0265	28	Med-slow	0.093	17.39	Small
MSMEG_1883	1.93	Slow	0.0095	23.25	Med-fast	0.1357	12.05	Small
MSMEG_1884	1.26	Med-slow	0.0867	45.41	Slow	0.1239	36.04	Med-large
MSMEG_1885	1.36	Med-slow	0.0369	30.76	Med-slow	0.35	22.62	Med-small
MSMEG_1886	1.39	Slow	0.331	NA	NA	NA	NA	NA
MSMEG_1888	NA	NA	NA	34.03	Med-slow	0.0726	NA	NA
MSMEG_1889	0.86	Med-fast	0.1043	46.55	Slow	0.0734	54.13	Large
MSMEG_1890	1.04	Med-slow	0.0137	23.21	Med-fast	0.1083	22.32	Med-small
MSMEG_1891	0.74	Med-fast	0.1166	21.95	Med-fast	0.0674	29.66	Med-large
MSMEG_1892	0.93	Med-fast	0.0512	33.86	Med-slow	0.0769	36.41	Med-large
MSMEG_1893	1	Med-slow	0.0582	18.48	Med-fast	0.1574	18.48	Small
MSMEG_1894	NA	NA	NA	10.75	Fast	0.4795	NA	NA
MSMEG_1895	NA	NA	NA	9.56	Fast	0.4709	NA	NA
MSMEG_1899	1.38	Slow	0.312	NA	NA	NA	NA	NA
MSMEG_1900	0.73	Med-fast	0.119	17.26	Med-fast	0.1303	23.64	Med-small
MSMEG_1901	0.99	Med-slow	0.0523	27.62	Med-slow	0.0817	27.9	Med-large
MSMEG_1902	0.87	Med-fast	0.0886	28.23	Med-slow	0.1702	32.45	Med-large
MSMEG_1903	1.57	Slow	0.438	NA	NA	NA	NA	NA
MSMEG_1906	3.77	Slow	0.1985	NA	NA	NA	NA	NA
MSMEG_1909	NA	NA	NA	17.02	Fast	0.3485	NA	NA
MSMEG_1910	1.06	Med-slow	0.174	235.81	Slow	0.2167	222.46	Large
MSMEG_1911	NA	NA	NA	900.97	Slow	0.3918	NA	NA
MSMEG_1912	NA	NA	NA	32.43	Med-slow	0.4216	NA	NA
MSMEG_1913	1.35	Med-slow	0.063	20.79	Med-fast	0.0552	15.4	Small
MSMEG_1914	0.97	Med-slow	0.0819	12.3	Fast	0.1079	12.68	Small
MSMEG_1915	2.02	Slow	0.0419	39.87	Slow	0.0886	19.74	Med-small
MSMEG_1916	1.43	Slow	0.0407	10.04	Fast	0.1168	7.02	Small
MSMEG_1917	0.68	Fast	0.0658	16.54	Fast	0.0875	24.32	Med-small
MSMEG_1918	0.76	Med-fast	0.1111	27.09	Med-slow	0.0624	35.64	Med-large
MSMEG_1919	1.45	Slow	0.1085	10.19	Fast	0.1492	7.03	Small
MSMEG_1920	0.63	Fast	0.0916	26.48	Med-slow	0.1902	42.03	Large
MSMEG_1921	0.76	Med-fast	0.1427	12.79	Fast	0.4458	16.83	Small
MSMEG_1922	0.81	Med-fast	0.1906	21.52	Med-fast	0.2031	26.57	Med-large
MSMEG_1923	0.91	Med-fast	0.0624	29.58	Med-slow	0.2133	32.51	Med-large
MSMEG_1924	0.7	Fast	0.0419	49.43	Slow	0.155	70.61	Large
MSMEG_1925	0.9	Med-fast	0.0227	30.42	Med-slow	0.0801	33.8	Med-large
MSMEG_1926	0.73	Med-fast	0.0462	25.64	Med-slow	0.1561	35.12	Med-large
MSMEG_1927	0.97	Med-slow	0.0457	19.99	Med-fast	0.1517	20.61	Med-small
MSMEG_1928	1	Med-slow	0.1208	32.7	Med-slow	0.1291	32.7	Med-large
MSMEG_1929	1.11	Med-slow	0.0991	32.88	Med-slow	0.0844	29.62	Med-large
MSMEG_1930	0.87	Med-fast	0.0161	14.52	Fast	0.0604	16.69	Small
MSMEG_1931	1.28	Med-slow	0.0609	31.72	Med-slow	0.2542	24.78	Med-small
MSMEG_1932	1.21	Med-slow	0.0089	15.28	Fast	0.0616	12.63	Small
MSMEG_1933	1.08	Med-slow	0.0443	15.64	Fast	0.1624	14.48	Small
MSMEG_1934	1.2	Med-slow	0.0575	22.62	Med-fast	0.109	18.85	Med-small
MSMEG_1935	0.34	Fast	0.198	12.21	Fast	0.251	35.91	Med-large
MSMEG_1936	0.56	Fast	0.0599	14.36	Fast	0.1065	25.64	Med-small
MSMEG_1937	0.75	Med-fast	0.0809	28.34	Med-slow	0.1073	37.79	Med-large
MSMEG_1938	0.9	Med-fast	0.0537	20.95	Med-fast	0.1233	23.28	Med-small
MSMEG_1939	1.38	Slow	0.1591	35.7	Med-slow	0.2083	25.87	Med-small
MSMEG_1940	1	Med-slow	0.0663	24.5	Med-slow	0.1117	24.5	Med-small
MSMEG_1941	1.14	Med-slow	0.0828	40.89	Slow	0.0662	35.87	Med-large
MSMEG_1942	0.72	Fast	0.0736	18.6	Med-fast	0.1371	25.83	Med-small
MSMEG_1943	1.81	Slow	0.4409	97.61	Slow	0.0832	53.93	Large
MSMEG_1944	0.64	Fast	0.1685	28.26	Med-slow	0.1444	44.16	Large
MSMEG_1945	0.54	Fast	0.0384	19.84	Med-fast	0.1493	36.74	Med-large
MSMEG_1946	0.92	Med-fast	0.0921	478.96	Slow	0.1159	520.61	Large
MSMEG_1947	3.05	Slow	0.0408	16.76	Fast	0.0516	5.5	Small
MSMEG_1950	NA	NA	NA	17.16	Fast	0.2671	NA	NA
MSMEG_1951	NA	NA	NA	34.84	Med-slow	0.144	NA	NA
MSMEG_1952	0.91	Med-fast	0.065	37.18	Med-slow	0.0999	40.86	Large
MSMEG_1953	2.12	Slow	0.0231	22	Med-fast	0.0663	10.38	Small
MSMEG_1954	0.95	Med-fast	0.0556	21.14	Med-fast	0.0809	22.25	Med-small
MSMEG_1955	0.75	Med-fast	0.1219	28.47	Med-slow	0.1217	37.96	Med-large
MSMEG_1957	0.55	Fast	0.024	18.98	Med-fast	0.1017	34.51	Med-large
MSMEG_1958	0.5	Fast	0.052	37.34	Med-slow	0.0973	74.68	Large
MSMEG_1959	0.69	Fast	0.0907	82.39	Slow	0.116	119.41	Large
MSMEG_1960	NA	NA	NA	22.12	Med-fast	0.3343	NA	NA
MSMEG_1962	1.84	Slow	0.0325	37.92	Med-slow	0.3512	20.61	Med-small
MSMEG_1963	0.95	Med-fast	0.0629	19.46	Med-fast	0.0688	20.48	Med-small
MSMEG_1966	NA	NA	NA	8.91	Fast	0.1287	NA	NA
MSMEG_1967	0.71	Fast	0.1796	11.56	Fast	0.2384	16.28	Small
MSMEG_1968	NA	NA	NA	10.36	Fast	0.179	NA	NA
MSMEG_1975	1.29	Med-slow	0.3591	NA	NA	NA	NA	NA
MSMEG_1976	0.9	Med-fast	0.3883	NA	NA	NA	NA	NA
MSMEG_1977	1.3	Med-slow	0.0338	NA	NA	NA	NA	NA
MSMEG_1980	0.78	Med-fast	0.08	26.35	Med-slow	0.0683	33.78	Med-large
MSMEG_1981	2.06	Slow	0.0528	18.54	Med-fast	0.0725	9	Small
MSMEG_1982	1.13	Med-slow	0.0576	16.53	Fast	0.1015	14.63	Small
MSMEG_1983	0.67	Fast	0.2715	NA	NA	NA	NA	NA
MSMEG_1985	0.62	Fast	0.1222	26.88	Med-slow	0.0497	43.35	Large
MSMEG_1986	0.9	Med-fast	0.0192	31.99	Med-slow	0.2939	35.54	Med-large
MSMEG_1989	1.91	Slow	0.1714	NA	NA	NA	NA	NA
MSMEG_1991	0.97	Med-slow	0.0306	50.17	Slow	0.3504	51.72	Large
MSMEG_1992	0.84	Med-fast	0.1873	211.69	Slow	0.2403	252.01	Large
MSMEG_1995	0.46	Fast	0.2926	18.8	Med-fast	0.2236	40.87	Large
MSMEG_1996	0.92	Med-fast	0.0577	29.46	Med-slow	0.0886	32.02	Med-large
MSMEG_1997	0.72	Fast	0.0543	34.18	Med-slow	0.0994	47.47	Large
MSMEG_1998	0.93	Med-fast	0.1112	NA	NA	NA	NA	NA
MSMEG_1999	0.93	Med-fast	0.3479	11.39	Fast	0.1049	12.25	Small
MSMEG_2000	2.08	Slow	0.0679	NA	NA	NA	NA	NA
MSMEG_2002	0.75	Med-fast	0.0751	22.99	Med-fast	0.1818	30.65	Med-large
MSMEG_2003	0.8	Med-fast	0.0704	20.08	Med-fast	0.2052	25.1	Med-small
MSMEG_2004	1.7	Slow	0.363	10.61	Fast	0.4984	6.24	Small
MSMEG_2006	1.11	Med-slow	0.2969	25.7	Med-slow	0.1949	23.15	Med-small
MSMEG_2007	1.04	Med-slow	0.0463	22.63	Med-fast	0.3831	21.76	Med-small
MSMEG_2008	0.48	Fast	0.2969	13.86	Fast	0.2825	28.88	Med-large
MSMEG_2009	0.49	Fast	0.1169	16.19	Fast	0.1786	33.04	Med-large
MSMEG_2010	0.47	Fast	0.04	11.56	Fast	0.0855	24.6	Med-small
MSMEG_2012	3.18	Slow	0.3254	NA	NA	NA	NA	NA
MSMEG_2014	0.73	Med-fast	0.0391	36.59	Med-slow	0.0856	50.12	Large
MSMEG_2015	0.87	Med-fast	0.0578	183.43	Slow	0.17	210.84	Large
MSMEG_2016	0.95	Med-fast	0.0374	39.75	Slow	0.1783	41.84	Large
MSMEG_2017	0.81	Med-fast	0.0448	13.38	Fast	0.2914	16.52	Small
MSMEG_2019	0.97	Med-slow	0.0343	90.03	Slow	0.3046	92.81	Large
MSMEG_2021	0.67	Fast	0.0588	23.73	Med-fast	0.1033	35.42	Med-large
MSMEG_2022	1.12	Med-slow	0.1166	11.14	Fast	0.25	9.95	Small
MSMEG_2025	0.79	Med-fast	0.0839	10.09	Fast	0.2593	12.77	Small
MSMEG_2026	1.05	Med-slow	0.0263	27.49	Med-slow	0.2233	26.18	Med-small
MSMEG_2027	4.12	Slow	0.442	9.15	Fast	0.0563	2.22	Small
MSMEG_2028	2.55	Slow	0.333	NA	NA	NA	NA	NA
MSMEG_2029	1.99	Slow	0.0624	NA	NA	NA	NA	NA
MSMEG_2032	0.52	Fast	0.378	22.58	Med-fast	0.3068	43.42	Large
MSMEG_2033	1.83	Slow	0.021	31.9	Med-slow	0.2216	17.43	Small
MSMEG_2035	0.73	Med-fast	0.0703	72.73	Slow	0.2168	99.63	Large
MSMEG_2036	NA	NA	NA	16.75	Fast	0.2299	NA	NA
MSMEG_2037	1.85	Slow	0.0305	NA	NA	NA	NA	NA
MSMEG_2038	0.87	Med-fast	0.0118	23.88	Med-fast	0.1177	27.45	Med-large
MSMEG_2039	2.07	Slow	0.1163	21.62	Med-fast	0.3104	10.44	Small
MSMEG_2040	NA	NA	NA	30.28	Med-slow	0.1946	NA	NA
MSMEG_2042	0.53	Fast	0.164	19.05	Med-fast	0.2661	35.94	Med-large
MSMEG_2043	0.6	Fast	0.1725	NA	NA	NA	NA	NA
MSMEG_2044	1.4	Slow	0.0229	47.72	Slow	0.1812	34.09	Med-large
MSMEG_2045	0.84	Med-fast	0.0492	8717.28	Slow	0.1068	10377.71	Large
MSMEG_2046	0.69	Fast	0.096	17.69	Med-fast	0.1525	25.64	Med-small
MSMEG_2048	0.96	Med-slow	0.0976	30.07	Med-slow	0.0781	31.32	Med-large
MSMEG_2049	NA	NA	NA	15.85	Fast	0.1325	NA	NA
MSMEG_2050	1.96	Slow	0.0988	927.96	Slow	0.2254	473.45	Large
MSMEG_2052	1.21	Med-slow	0.2326	NA	NA	NA	NA	NA
MSMEG_2054	NA	NA	NA	23.1	Med-fast	0.4637	NA	NA
MSMEG_2057	2.64	Slow	0.4474	15.85	Fast	0.322	6	Small
MSMEG_2058	4.49	Slow	0.1076	88.91	Slow	0.1175	19.8	Med-small
MSMEG_2059	NA	NA	NA	17.52	Med-fast	0.4582	NA	NA
MSMEG_2060	1.24	Med-slow	0.2962	16.84	Fast	0.3273	13.58	Small
MSMEG_2062	NA	NA	NA	7.81	Fast	0.4957	NA	NA
MSMEG_2063	NA	NA	NA	18.52	Med-fast	0.3235	NA	NA
MSMEG_2064	0.67	Fast	0.2793	16.9	Fast	0.1359	25.22	Med-small
MSMEG_2065	1.21	Med-slow	0.383	64.11	Slow	0.2242	52.98	Large
MSMEG_2068	2.07	Slow	0.342	116.29	Slow	0.4042	56.18	Large
MSMEG_2070	1.54	Slow	0.1714	NA	NA	NA	NA	NA
MSMEG_2071	NA	NA	NA	19.32	Med-fast	0.3563	NA	NA
MSMEG_2072	NA	NA	NA	17.41	Med-fast	0.1186	NA	NA
MSMEG_2073	NA	NA	NA	95.02	Slow	0.1998	NA	NA
MSMEG_2075	1.03	Med-slow	0.0545	15.79	Fast	0.1934	15.33	Small
MSMEG_2076	NA	NA	NA	7.85	Fast	0.3946	NA	NA
MSMEG_2077	0.81	Med-fast	0.112	NA	NA	NA	NA	NA
MSMEG_2078	1.44	Slow	0.0222	24.3	Med-slow	0.0613	16.88	Small
MSMEG_2079	3	Slow	0.1181	35.88	Med-slow	0.0641	11.96	Small
MSMEG_2080	1.18	Med-slow	0.0571	26.84	Med-slow	0.0423	22.75	Med-small
MSMEG_2081	1.63	Slow	0.0157	17.72	Med-fast	0.0574	10.87	Small
MSMEG_2083	0.93	Med-fast	0.0487	42.04	Slow	0.1986	45.2	Large
MSMEG_2084	0.66	Fast	0.0628	14.13	Fast	0.1171	21.41	Med-small
MSMEG_2086	0.47	Fast	0.0428	17.69	Med-fast	0.0693	37.64	Med-large
MSMEG_2087	0.88	Med-fast	0.1507	30.77	Med-slow	0.0875	34.97	Med-large
MSMEG_2088	0.43	Fast	0.2172	60.82	Slow	0.1013	141.44	Large
MSMEG_2089	0.56	Fast	0.0369	34.96	Med-slow	0.1346	62.43	Large
MSMEG_2090	0.58	Fast	0.0727	41.49	Slow	0.1178	71.53	Large
MSMEG_2091	0.49	Fast	0.1329	44.47	Slow	0.1599	90.76	Large
MSMEG_2092	1.11	Med-slow	0.039	25.2	Med-slow	0.0621	22.7	Med-small
MSMEG_2094	NA	NA	NA	33.24	Med-slow	0.1475	NA	NA
MSMEG_2095	0.76	Med-fast	0.0278	21.72	Med-fast	0.1025	28.58	Med-large
MSMEG_2096	1.75	Slow	0.2625	NA	NA	NA	NA	NA
MSMEG_2097	2.2	Slow	0.2967	NA	NA	NA	NA	NA
MSMEG_2098	4.49	Slow	0.1111	NA	NA	NA	NA	NA
MSMEG_2099	3.48	Slow	0.3066	NA	NA	NA	NA	NA
MSMEG_2100	2.16	Slow	0.1732	NA	NA	NA	NA	NA
MSMEG_2102	1.06	Med-slow	0.279	NA	NA	NA	NA	NA
MSMEG_2104	0.86	Med-fast	0.1144	57.67	Slow	0.2002	67.06	Large
MSMEG_2105	0.51	Fast	0.2701	8.64	Fast	0.3085	16.94	Small
MSMEG_2106	0.49	Fast	0.2955	18.22	Med-fast	0.1971	37.18	Med-large
MSMEG_2107	0.71	Fast	0.3991	18.94	Med-fast	0.033	26.68	Med-large
MSMEG_2108	0.71	Fast	0.3144	78.62	Slow	0.4077	110.73	Large
MSMEG_2109	1.54	Slow	0.064	74.61	Slow	0.3753	48.45	Large
MSMEG_2110	0.86	Med-fast	0.058	73.07	Slow	0.1372	84.97	Large
MSMEG_2111	0.81	Med-fast	0.0561	133.47	Slow	0.1861	164.78	Large
MSMEG_2112	1.35	Med-slow	0.1294	47.07	Slow	0.3332	34.87	Med-large
