,half-life best interval,Hypoxia half-life,Fold increase in hypoxia
MSMEG_3385,1.00461452940507,6.74487070812031,6.71388926866766
MSMEG_2954,3.27408194030638,22.1903102311991,6.77756715799318
MSMEG_1453,1.02059909166681,6.94156370708689,6.80145981293218
MSMEG_3395,1.82652373393638,12.5061497958831,6.84696813051032
MSMEG_6427,5.11798789961434,35.0635197245461,6.85103607360781
MSMEG_3564,2.51165553772725,17.3349019771158,6.90178319308938
MSMEG_6169,1.61692691490345,11.3091821729252,6.99424449471824
MSMEG_1916,1.43102461362335,10.0370284970228,7.01387551371955
MSMEG_4287,2.41128481292449,16.9686716536557,7.03719094596524
MSMEG_6245,1.49805253170878,10.5477881319962,7.04100017104519
MSMEG_1919,1.44616645375883,10.1904200870623,7.04650564986878
MSMEG_1571,1.16545718110317,8.2429313150941,7.07270198231711
MSMEG_6455,1.71115674195756,12.2753437004079,7.17371085851839
MSMEG_5721,2.76981734058196,19.9760647152511,7.21205128676607
MSMEG_1597,1.82988197261277,13.3782488956918,7.31099005068063
MSMEG_0996,1.56309313802112,11.4390731946102,7.31822878391757
MSMEG_6342,1.81027304089665,13.276770834164,7.33412614242316
MSMEG_1312,3.31533579615422,24.3421942331661,7.34230127198668
MSMEG_4472,1.80635838150289,13.2899911998707,7.35733912824842
VBIMycSme59918_3469,1.71612932750612,12.6509182363176,7.37177439575718
MSMEG_6600,2.30308613542146,17.0105818078724,7.38599462097821
MSMEG_0372,3.15391084945333,23.3872128833344,7.41530563154254
MSMEG_6559,1.82210209845425,13.6480164268018,7.49025888196927
MSMEG_6488,1.59066808059385,11.9414760094671,7.50720791795165
MSMEG_3858,1.27798249163987,9.61463503365123,7.52329166991483
MSMEG_4126,1.81581575522804,13.7953319579429,7.59731923143844
MSMEG_0965,3.73479087606827,28.427522622503,7.61154334092985
MSMEG_2289,1.39030494021689,10.632183908046,7.64737547892721
MSMEG_6876,1.88180474035575,14.4346118584888,7.6706214778479
MSMEG_5653,2.78318953520735,21.3649851632048,7.67643916913948
MSMEG_5961,1.83864731592514,14.1455333248375,7.69344572083961
MSMEG_2754,1.42663043478261,10.982777158462,7.69840379869336
MSMEG_5884,3.12646553071753,24.1139219882037,7.71283794792694
MSMEG_1216,2.64785429236095,20.4487675472532,7.72276918947082
MSMEG_3748,2.48303261049495,19.3832291412007,7.80627248279957
MSMEG_6880,2.87097038799115,22.4528944343118,7.82066388710555
MSMEG_4693,2.03314018501576,15.9066808059385,7.82370095440084
MSMEG_6452,3.07818592242972,24.3019572927766,7.89489585918001
MSMEG_2408,3.09405940594059,24.4394701111886,7.89883673993617
MSMEG_5733,2.24691450490309,17.7827619352772,7.91430287911385
MSMEG_2953,3.77880103572009,29.9682768240826,7.93063104958418
