,mse best interval
MSMEG_2408,0.0438496854320986
MSMEG_5733,0.310920148253968
MSMEG_2953,0.188177614700483
MSMEG_6874,0.408693219067632
MSMEG_5867,0.0769468515343914
MSMEG_2752,0.178280268915344
MSMEG_2164,0.0183219575925926
MSMEG_4326,0.116914159470899
MSMEG_3984,0.0912422620370369
MSMEG_6422,0.379509836507936
MSMEG_3647,0.0157769506172839
MSMEG_5834,0.198671704444444
MSMEG_2669,0.0561991593209876
VBIMycSme59918_0718,0.0360416522222223
MSMEG_4747,0.0849943775925924
MSMEG_2429,0.275067780523809
MSMEG_4290,0.208028509772947
MSMEG_4072,0.240722766666666
MSMEG_6347,0.10792353191358
ORF35,0.420098217412698
MSMEG_2183,0.175324425825396
MSMEG_3013,0.0758109432098764
MSMEG_4691,0.0121266150617284
MSMEG_3289,0.385664553505555
MSMEG_4690,0.0121880691358025
MSMEG_1060,0.0148922541358024
MSMEG_2525,0.077446778015873
MSMEG_2582,0.315718306481481
MSMEG_5151,0.0561087199206349
MSMEG_0919,0.272360008386243
MSMEG_3955,0.317040253333333
MSMEG_4219,0.0373586698765431
MSMEG_2688,0.0575714461728394
MSMEG_3454,0.0277161482098765
MSMEG_0170,0.114943141402116
MSMEG_3657,0.331777624444444
MSMEG_4830,0.496637817142857
MSMEG_1112,0.461209952513226
MSMEG_0231,0.14848399058201
MSMEG_0383,0.337852193359788
MSMEG_2658,0.434788128809523
MSMEG_2941,0.0374394309259258
MSMEG_0497,0.265415483765432
MSMEG_6557,0.00764888172839503
MSMEG_4162,0.171943731700483
MSMEG_5152,0.0497502676190475
MSMEG_0918,0.030046390617284
MSMEG_3015,0.0292855869135801
MSMEG_6648,0.107423897698412
MSMEG_2542,0.246456394603174
MSMEG_2949,0.345228398941798
MSMEG_5509,0.201151103765432
MSMEG_6126,0.0446713814814814
MSMEG_1981,0.0527556664814814
VBIMycSme59918_2263,0.0336674874691357
MSMEG_4109,0.00515555265432093
MSMEG_3084,0.107949179937198
MSMEG_2443,0.0186035713580247
MSMEG_0520,0.0298099933950616
MSMEG_3103,0.00738613728395058
VBIMycSme59918_1005,0.0376206570987654
MSMEG_2959,0.0436372158024691
MSMEG_1794,0.337822314285714
MSMEG_4112,0.242094749647342
MSMEG_2382,0.0142664200000001
MSMEG_5781,0.0772454310317462
MSMEG_4852,0.393163797777777
MSMEG_0887,0.390450406666666
MSMEG_2351,0.164767030793651
MSMEG_4972,0.0496393993209877
MSMEG_5512,0.0174703525925925
VBIMycSme59918_5677,0.0229748726543209
MSMEG_3999,0.0650286063492065
MSMEG_5482,0.126851819733333
MSMEG_4361,0.201169996579709
MSMEG_5122,0.0509379533333334
MSMEG_5665,0.0268674808465608
MSMEG_2948,0.0881923061728394
MSMEG_3665,0.0902652913580245
MSMEG_4954,0.010571502037037
MSMEG_6399,0.303641129735449
MSMEG_4047,0.229194668301587
MSMEG_5904,0.181681564661835
MSMEG_3950,0.468709606904762
MSMEG_1729,0.280237926772486
VBIMycSme59918_1714,0.280237926772486
MSMEG_1519,0.0313604535802469
MSMEG_3803,0.0864770799206347
MSMEG_3254,0.134713366603864
MSMEG_4714,0.451974991322751
MSMEG_2942,0.0888212432098764
MSMEG_4367,0.0239887585449735
MSMEG_2723,0.0182590022839506
MSMEG_5492,0.138488426728394
MSMEG_5777,0.154887732098765
MSMEG_4544,0.0793987400617284
MSMEG_6025,0.344889351322751
MSMEG_4106,0.119451739320987
MSMEG_3117,0.0201587427777778
MSMEG_4640,0.164579782746031
MSMEG_2639,0.061507093580247
MSMEG_3840,0.183690896301587
MSMEG_1402,0.0633632637037036
MSMEG_5535,0.176151147469136
MSMEG_4766,0.0680232195061728
MSMEG_2118,0.0482393222839505
MSMEG_6636,0.085235622037037
MSMEG_2022,0.116566754285714
MSMEG_3300,0.476614940846561
MSMEG_5707,0.204034326031745
MSMEG_2488,0.0598821691358022
MSMEG_1878,0.339175326031745
MSMEG_0888,0.0517494970987655
MSMEG_2196,0.029823032654321
MSMEG_6907,0.0178468044444444
MSMEG_3461,0.128994997425121
MSMEG_2426,0.324583536534391
MSMEG_5518,0.0153047487037037
MSMEG_1534,0.0569318691358025
MSMEG_3077,0.208183108523809
MSMEG_2518,0.0661226520987654
MSMEG_1833,0.0280505711728396
MSMEG_1599,0.0525518251904762
MSMEG_3227,0.014914037037037
MSMEG_3545,0.0405112227777777
MSMEG_1303,0.149917257592592
MSMEG_6711,0.111717961
MSMEG_1953,0.0230843156172839
MSMEG_4141,0.239773868380952
MSMEG_4892,0.0685644267283951
MSMEG_2039,0.116286105987654
MSMEG_5808,0.463431015238095
