,No zero values in 0-15 minute timepoints,half-life for 0-15 minutes,hyp_1_5_slope,hyp_1_5_r2,hyp_1_5_mse
MSMEG_2658,pass,14.32,-0.0698453453453454,0.501872540178102,0.128990049045045
MSMEG_1592,pass,14.32,-0.0698367867867868,0.449979050978034,0.158814318171171
MSMEG_3398,pass,14.33,-0.0697806306306306,0.275411989975333,0.341281149294294
MSMEG_6946,pass,14.33,-0.069777027027027,0.597034025022276,0.0875444137627628
MSMEG_1168,pass,14.33,-0.0697767267267267,0.460647524069247,0.151865575792792
MSMEG_0391,pass,14.34,-0.0697591591591591,0.461212591266879,0.151444315831831
MSMEG_3743,pass,14.34,-0.0697548048048048,0.659467504968307,0.066934131984985
MSMEG_6932,pass,14.34,-0.0697111111111111,0.453809663182671,0.155814727111111
MSMEG_5109,pass,14.35,-0.0697037537537537,0.435061382360439,0.168072740513513
MSMEG_6764,pass,14.35,-0.0696815315315315,0.347553986864272,0.242824164069069
MSMEG_6129,pass,14.35,-0.0696711711711711,0.544407430858044,0.108216387015014
MSMEG_6310,pass,14.36,-0.0696498498498498,0.511203545907916,0.123568785621621
MSMEG_1936,pass,14.36,-0.0696382882882883,0.548055885510435,0.106534503168168
MSMEG_0725,pass,14.36,-0.0696375375375375,0.540220038427924,0.109951303351351
MSMEG_2868,pass,14.36,-0.069633033033033,0.521459798547089,0.118539322486486
MSMEG_3467,pass,14.36,-0.0696253753753753,0.339626779913933,0.251105858579579
MSMEG_4346,pass,14.36,-0.0696138138138138,0.334689634807067,0.256629809849849
MSMEG_0465,pass,14.37,-0.0695923423423423,0.662913102914972,0.0656058243933934
MSMEG_6888,pass,14.37,-0.0695735735735735,0.231789383163743,0.427375486018017
MSMEG_4041,pass,14.39,-0.0695022522522522,0.441586121643665,0.162731926087087
MSMEG_1014,pass,14.39,-0.0694995495495495,0.539408464948013,0.10987436915015
MSMEG_5262,pass,14.41,-0.0693768768768769,0.346643438664959,0.241674586378378
MSMEG_6456,pass,14.42,-0.0693603603603603,0.402934374601256,0.18990860854054
MSMEG_6482,pass,14.42,-0.0693441441441441,0.385805348854488,0.203934917153153
MSMEG_5769,pass,14.43,-0.0692917417417417,0.450330860210436,0.156122976405405
MSMEG_6876,pass,14.43,-0.0692779279279279,0.290771328018495,0.311859303288288
MSMEG_1033,pass,14.44,-0.069275975975976,0.651964571302898,0.0682494232912916
MSMEG_3164,pass,14.44,-0.0692334834834835,0.391587972286506,0.198396969954954
MSMEG_2197,pass,14.45,-0.0692192192192192,0.391745570577482,0.198184095315315
MSMEG_2821,pass,14.45,-0.0692096096096096,0.419875054488927,0.176306566162162
VBIMycSme59918_2790,pass,14.45,-0.0692096096096096,0.419875054488927,0.176306566162162
MSMEG_0212,pass,14.45,-0.0691915915915916,0.47388328257123,0.141596192516516
MSMEG_4072,pass,14.45,-0.0691866366366366,0.341805250511743,0.245558143864865
MSMEG_4465,pass,14.46,-0.0691684684684684,0.510327978358241,0.122294366402402
VBIMycSme59918_5677,pass,14.46,-0.0691435435435435,0.356269759577111,0.230124277045045
MSMEG_2840,pass,14.47,-0.0691189189189189,0.490597867889186,0.132148791531531
MSMEG_1196,pass,14.47,-0.0691163663663664,0.551164281534952,0.103634024153153
MSMEG_0667,pass,14.51,-0.0688942942942943,0.30679694186774,0.285699957621621
MSMEG_0951,pass,14.52,-0.0688863363363363,0.347922189389049,0.236928710315315
MSMEG_1930,pass,14.52,-0.0688698198198198,0.676660703921507,0.0603781283573572
MSMEG_5552,pass,14.52,-0.0688687687687687,0.58026718538257,0.0913952805045046
MSMEG_1640,pass,14.52,-0.0688615615615615,0.460491046469004,0.148001262594594
MSMEG_2826,pass,14.53,-0.0688414414414414,0.35529021755624,0.229094752204204
MSMEG_2743,pass,14.53,-0.0688387387387387,0.509816976427054,0.121379125177177
MSMEG_3795,pass,14.54,-0.0687687687687688,0.385119575809663,0.201146180504504
MSMEG_4197,pass,14.55,-0.068733033033033,0.608315491353384,0.0810350224864864
MSMEG_5073,pass,14.55,-0.0687253753753754,0.421510395887208,0.172685443468468
MSMEG_4211,pass,14.55,-0.0687117117117117,0.395638679663292,0.192129332168168
VBIMycSme59918_5503,pass,14.57,-0.0686448948948949,0.465863051406449,0.143927924705705
MSMEG_0363,pass,14.57,-0.0686202702702702,0.467703278275393,0.142765229054053
MSMEG_4325,pass,14.58,-0.0686079579579579,0.643247796227127,0.0695459052462462
MSMEG_3708,pass,14.60,-0.0684918918918919,0.480339868585259,0.135202060204204
MSMEG_5876,pass,14.60,-0.0684821321321321,0.304848829218199,0.28489412545045
ORF29,pass,14.61,-0.0684683183183183,0.227929594830658,0.42302859966066
MSMEG_4483,pass,14.61,-0.0684406906906906,0.594874401181248,0.0849820871801802
MSMEG_5030,pass,14.62,-0.0684069069069069,0.264291605478284,0.347021570018017
MSMEG_3145,pass,14.62,-0.0684055555555555,0.684028655712507,0.0575824807777778
VBIMycSme59918_3918,pass,14.62,-0.0683903903903904,0.481687628623962,0.134075822162162
MSMEG_1339,pass,14.64,-0.0683241741741742,0.339975146834065,0.241432717054054
MSMEG_4563,pass,14.64,-0.0682993993993994,0.338715131644388,0.242617417945946
MSMEG_1064,pass,14.64,-0.0682861861861861,0.617299874290143,0.0770127005165164
MSMEG_6476,pass,14.64,-0.0682848348348348,0.261245601026295,0.351264160273273
MSMEG_6314,pass,14.66,-0.0681998498498498,0.264240687675182,0.345014330399399
MSMEG_5217,pass,14.67,-0.0681729729729729,0.31634454116637,0.267568897429429
MSMEG_4044,pass,14.67,-0.0681503003003002,0.669692271388853,0.0610257628198197
ORF42,pass,14.68,-0.0681294294294294,0.201338627133976,0.490500327327327
MSMEG_5773,pass,14.68,-0.0681147147147147,0.677841903575977,0.0587430838318318
MSMEG_3960,pass,14.69,-0.0680894894894895,0.544587778004526,0.103283552612612
MSMEG_1254,pass,14.69,-0.0680887387387387,0.453890191810003,0.148598346843843
MSMEG_0663,pass,14.69,-0.0680537537537537,0.465822526204398,0.14148274418018
MSMEG_5759,pass,14.70,-0.0680454954954955,0.233010206780379,0.406020182015014
MSMEG_6090,pass,14.70,-0.0680453453453453,0.611150335036323,0.0784810383783784
MSMEG_6443,pass,14.70,-0.0680198198198198,0.489554335311157,0.128514992024023
MSMEG_4601,pass,14.71,-0.0680033033033033,0.592131053386759,0.0848588306426425
MSMEG_0231,pass,14.71,-0.0679633633633633,0.404825099339074,0.180909395975976
MSMEG_4752,pass,14.72,-0.0679542042042042,0.452360225831704,0.148928375684684
MSMEG_6922,pass,14.72,-0.0679492492492492,0.605102052224561,0.0802712076516516
MSMEG_4183,pass,14.72,-0.0679295795795796,0.575960446662064,0.0905035849579579
MSMEG_2634,pass,14.73,-0.0678821321321321,0.221240226641301,0.43210031745045
MSMEG_2287,pass,14.74,-0.0678638138138138,0.426892637010276,0.164713072849849
MSMEG_6422,pass,14.75,-0.067807057057057,0.526200202362603,0.110287901162162
MSMEG_0916,pass,14.76,-0.0677725225225225,0.405968347425933,0.179043654819819
MSMEG_6347,pass,14.76,-0.0677486486486487,0.233011929805853,0.402481522018017
MSMEG_1078,pass,14.76,-0.0677477477477477,0.482474646461346,0.13115386042042
MSMEG_3921,pass,14.77,-0.067692042042042,0.253371990424839,0.359712166135135
MSMEG_5582,pass,14.80,-0.0675542042042042,0.478712984143072,0.132385581018018
MSMEG_3117,pass,14.81,-0.0675375375375375,0.59094054843414,0.0841138100180178
MSMEG_4024,pass,14.81,-0.0675141141141141,0.540752373510881,0.103126873981982
MSMEG_4448,pass,14.81,-0.0675097597597597,0.260569264374822,0.344541593018018
MSMEG_3088,pass,14.82,-0.0674899399399399,0.48391571070859,0.129408624237237
MSMEG_5715,pass,14.83,-0.0674439939939939,0.448262047734458,0.149149454927927
MSMEG_2118,pass,14.83,-0.0674346846846847,0.307038907886851,0.273411212573573
MSMEG_6540,pass,14.84,-0.0673722222222222,0.523592845538906,0.110022253666666
MSMEG_2194,pass,14.85,-0.0673498498498498,0.402976380818652,0.179027358954955
MSMEG_1305,pass,14.85,-0.0673459459459459,0.453780751328172,0.145438057717717
