locus_tag,name,tnseq_ess,crispr_ess
MSMEG0250,MSMEG0250,Essential,Essential
MSMEG0251,MSMEG0251,NonEssential,NonEssential
MSMEG0252,trmB,NonEssential,NonEssential
MSMEG0253,MSMEG0253,NonEssential,NonEssential
MSMEG0254,MSMEG0254,NonEssential,NonEssential
MSMEG0255,MSMEG0255,NonEssential,NonEssential
MSMEG0256,MSMEG0256,NonEssential,NonEssential
MSMEG0257,MSMEG0257,NonEssential,NonEssential
MSMEG0258,MSMEG0258,NonEssential,NonEssential
MSMEG0259,MSMEG0259,NonEssential,NonEssential
MSMEG0260,MSMEG0260,NonEssential,NonEssential
MSMEG0261,MSMEG0261,NonEssential,NonEssential
MSMEG0262,MSMEG0262,NonEssential,NonEssential
MSMEG0263,MSMEG0263,NonEssential,NonEssential
MSMEG0264,MSMEG0264,NonEssential,NonEssential
MSMEG0265,MSMEG0265,NonEssential,NonEssential
MSMEG0266,MSMEG0266,NonEssential,NonEssential
MSMEG0267,MSMEG0267,NonEssential,NonEssential
MSMEG0268,MSMEG0268,NonEssential,NonEssential
MSMEG0269,MSMEG0269,NonEssential,NonEssential
MSMEG0270,MSMEG0270,NonEssential,NonEssential
MSMEG0271,MSMEG0271,NonEssential,NonEssential
MSMEG0272,MSMEG0272,NonEssential,NonEssential
MSMEG0273,MSMEG0273,NonEssential,NonEssential
MSMEG0274,MSMEG0274,NonEssential,NonEssential
MSMEG0275,MSMEG0275,NonEssential,NonEssential
MSMEG0276,MSMEG0276,NonEssential,NonEssential
MSMEG0277,MSMEG0277,NonEssential,NonEssential
MSMEG0278,MSMEG0278,NonEssential,NonEssential
MSMEG0279,MSMEG0279,NonEssential,NonEssential
MSMEG0280,MSMEG0280,NonEssential,NonEssential
MSMEG0281,MSMEG0281,NonEssential,NonEssential
MSMEG0282,MSMEG0282,NonEssential,NonEssential
MSMEG0283,MSMEG0283,NonEssential,NonEssential
MSMEG0284,MSMEG0284,NonEssential,NonEssential
MSMEG0285,MSMEG0285,NonEssential,NonEssential
MSMEG0286,MSMEG0286,NonEssential,NonEssential
MSMEG0287,MSMEG0287,NonEssential,NonEssential
MSMEG0288,MSMEG0288,NonEssential,NonEssential
MSMEG0289,MSMEG0289,NonEssential,NonEssential
MSMEG0290,MSMEG0290,NonEssential,NonEssential
MSMEG0291,MSMEG0291,NonEssential,NonEssential
MSMEG0292,MSMEG0292,NonEssential,NonEssential
MSMEG0293,MSMEG0293,NonEssential,NonEssential
MSMEG0294,fabG,NonEssential,NonEssential
MSMEG0295,MSMEG0295,NonEssential,NonEssential
MSMEG0296,MSMEG0296,NonEssential,NonEssential
MSMEG0297,MSMEG0297,NonEssential,NonEssential
MSMEG0298,MSMEG0298,NonEssential,NonEssential
MSMEG0299,MSMEG0299,NonEssential,NonEssential
MSMEG0300,MSMEG0300,NonEssential,NonEssential
